312	0	76
312	0	57
312	0	41
312	0	53
312	0	44
312	0	20
312	0	65
312	0	62
312	0	68
1187	1	41
1312	0	41
1718	1	57
6859	0	57
7000	1	41
7500	0	41
8421	1	57
12687	0	57
13078	1	41
13265	0	41
13593	1	57
16750	0	57
16890	1	41
16984	0	41
17125	1	57
20734	0	57
21156	1	44
21500	0	44
21671	1	57
23093	0	57
23609	1	44
23968	0	44
24125	1	57
26656	0	57
26921	1	41
27093	0	41
27265	1	57
29046	0	57
29281	1	41
29484	0	41
29609	1	57
31437	0	57
31593	1	41
31718	0	41
31890	1	57
35734	0	57
36156	1	44
36765	0	44
36921	1	57
44828	0	57
45562	1	41
45843	0	41
46015	1	57
48781	0	57
